Title,Requirements Description
Sorting,The solution shall allow data to be sorted within a data set based on a column/attribute label.
Spelling,The solution shall have spell check.
Standard Dates,The solution shall store user-entered dates in normalized/auto-formatted date-typed fields.
Tables,The solution shall support tables.
Tool Bars,The solution shall allow for customization of toolbar information for users.
Reports - requirements traceability,"The solution shall allow trace relationship reports to be generated in a waterfall format based on specification level.
Note: The report shall allow for exclusions and tailoring of types of modules/collections to include."
Reports - User statistics,The solution shall report user statistics including username and group membership.
Reports - Verification Burndown,"The solution shall report status of verification based on objective evidence ECD information in a burn down format.
Note: Burndown formats include history over time of real time closure of requirements and forecasted closure date."
Reports - Serialized Verification,The solution shall allow for verification reporting based on a serialized/missionized deliverable.
Version Comparison,The solution shall display a comparison of two user-selected versions of a specification upon command. (Redlined exports)
Views,The solution shall allow curated displays of data to be saved.
Views - Copy Views,The solution shall allow a view to be copied from one module to another including attributes in the view.
Views - Edit Views,"The solution shall allow views to be deleted, updated and saved."
Editorial Functions,"The solution shall have editorial functions including color, fonts, text (sizing, bolding, italicizing, formatting, find/replace,  superscript, subscript) to aid visualization."
Report - Workflow status,The solution shall provide a workflow capability for requirements development and approvals to provide visibility into the requirements status.
Agile support,The solution shall support the principles of Agile methodologies.
Reports - requirements traceability,"The solution shall provide full bi-directional traceability throughout the development life cycle for hardware, software, engineering, etc. phases."
Requirements capture,The solution shall store attachments.
Requirements project reuse,The solution shall import requirements from another project within the same requirements tool for re-use.
Artificial intelligence,"The solution shall utilize artificial intelligence to generate user stories and requirements, and diagrams."
Graphical view of requirements structure,The solution shall allow the create of a graphical representation of the requirements structure.
Global parameters,The solution shall provide global parameters (variables) for use across projects.
Multi Tenancy,The solution shall allow multiple projects to reside in the same system.
New Requirement,The solution shall create a new requirement at the requested location.
Object Edit - merge and split,The Solution shall support object merging and splitting.
Prevent Deletion of Baselined Content,The solution shall allow the baselined information be viewable even if items are deleted in the future.
Project Customization,The solution shall allow for schema modification across projects.
Views - View Control,The solution shall allow for views to be permission controlled.
Reports - requirements traceability,The solution shall navigate to source and target element from the traceability matrix.
Reports - batch mode or scheduled execution,The solution shall provide report generation of reports in batch mode or scheduled execution.
Interface - glossary,Solution shall support an interface to a terminology(glossary) or domain knowledge.
Requirements analysis,The solution shall verify requirements conformity to predefined templates.
New Requirement,Manually insert a new requirement with automatic creation of links to the related requirements and attributes inheritance
Report - User defined,"The solution shall provide report generation by user defined criteria (e.g., attributes, codes, etc.)."
Report - Validation plan exception,The solution shall provide exception reports on requirements that are not linked to test plan.
Import comparison,"The solution Identify changes in requirements when re-importing source file (new, changed, unchanged)"
Baseline - comparison,The solution shall generating reports that compare and contrast baselines versions
Baseline - signatures,"The solution shall allow baseline signatures in order to document approval authority.
RW: Change this priority to could have."
Archive for Customer Submittal,The solution shall allow for module level and project level file generation to share with customers. Ex ReqIF or other file formats
Baseline - snapshots,"The solution shall support baselines (captured in an unchangeable format), allowing snapshots of requirements at various stages."
Baseline - version control,"The solution shall include the following on the Create Baseline Form:
• Version - required Field Major and Minor versions available.
• Description - required Field"
Bi-directional Navigation Traceability,The solution shall display bi-directionally related items upon request.
Change Management,The solution shall allow revisions to a standard shall statement.
Change Management,The solution shall restrict modifications to selected attributes once in a controlled state.
Change Management - Process,The solution shall have change management states for Configuration Management purposes.
Collection Properties,The solution shall allow for attribute information to be collected at the object and module level.
Delete stages,"The Solution shall allow soft (temporary)  and hard (permanent) deletion of requirements and full specifications, associated attributes and links, including objects with their hierachy."
Document Generation,The solution shall allow specifications to be generated to templates that include data defined by Administrator. Configurable Exports and output types.
Manage Relationship Between Requirements,The solution shall allow defined requirement relationships between requirement levels/specifications (directionality).
Editorial Functions,The solution shall allow an offline editing function that automatically reconciles the edits with the database so that you do not have to work within the application to input information.
Unique Requirement ID,The requirements management system shall create unique requirement identifiers (REQID) to distinguish requirements uniquely from each other
Tracking Requirement Updates,The requirements management system shall track history of requirement updates
Approval of Proposed Requirement Updates,The requirements management system shall have the ability to provide comments/feedback to the update
Change History and Requirement Comparison,The requirements management system shall track the history of changes and the documented rationale for a requirement change
Attributes for Requirements,The requirements management system shall have the ability to create editable attributes for requirements
Comparing Requirements to Previous Versions,The requirements management system shall have the ability to compare uncomitted changes to previous versions
Bidirectional Requirements Traceability,The requirements management system shall provide bidirectional requirements traceability
Requirements CRUD,"The requirements management system shall provide the ability to create, read, update, and delete requirements"
Export,"The requirements management system shall be able to export requirements to standard  formats Excel, Word, and CSV"
Export Templates,The requirements management system shall accept templates for the generation of requirements exports
Traceability to Source,"The requirements management system shall trace requirements to their source, such as document, trade study, workshop, or interview"
Filtering,The requirements management system shall provide a filtering capability
Graphics,The requirements management system shall store standard format graphics 
Reverting,The requirements management system shall allow users to revert to previous versions of requirements
Sorting,The requirements management system shall allow data to be sorted by attribute
Exporting Native,The requirements management system shall export requirements into a tool native format
Importing Native,The requirements management system shall import requirements from a tool native format
Importing from CSV,The requirements management system shall import requirements from a CSV file
Multiple Access Levels,"The requirements management system shall provide multiple user access levels, to include at a minimum Admin, Regular, Read Only"
Locking,The requirements management system shall prevent users from simultaneously editing the same requirement. 
Version Identifier,"The requirements management system shall have the ability to mark a set of requirements with a version identifier (e.g. specification release, baseline, milestone)"
