Level 1 ID,Level 2 ID,Level 3 ID,Component,L3 Requirement Type,Capability,Level 3 Requirement name,Level 3 Requirement text,Verification Method,IDE Conops Section References,Source,Action taken,Notes
1,1.1,1.1.2-F5,Capability,F,Systems Engineering,SE MBSE Capability,The IDE shall provide a modeling environment compliant with the SysML v1.6 (or later) standard for system architecture definition.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.2-F6,Capability,F,Systems Engineering,SE Mission Simulation Capability,The IDE shall execute physics-based or logic-based mission simulations defined by user-provided models.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.2-F7,Capability,F,Systems Engineering,SE Mission Analysis Capability,The IDE shall calculate mission performance parameters based on user-defined analysis models.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1.1,1.1,1.1.2-F8,Capability,F,Systems Engineering,SE SSO Integration (AuthZ),The IDE shall integrate the System Engineering capabilities with the Mandated Shared Service for Centralized Authorization (RBAC).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.2-F9,Capability,F,Systems Engineering,SE Monitoring Integration,The IDE shall integrate the System Engineering capabilities with the Mandated Shared Service for Centralized Monitoring.,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.3-F1,Capability,F,Software Factory,SWF Version Control Capability,The IDE shall manage source code versioning and change history using a distributed version control system.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.3-F2,Capability,F,Software Factory,SWF SSO Integration (AuthN),The IDE shall integrate the Software Factory capabilities with the Mandated Shared Service for Centralized Authentication (SSO).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.3-F3,Capability,F,Software Factory,SWF Logging Integration,The IDE shall integrate the Software Factory capabilities with the Mandated Shared Service for Centralized Logging.,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.3-F11,Capability,F,Software Factory,SWF Integrated Development Environment,The IDE shall provide an Integrated Development Environment  that supports source code syntax highlighting and debugger attachment.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.3-F4,Capability,F,Software Factory,SWF IDE Remote Access,The IDE shall provide the 'Remote Application Access Service' for non-web based client Integrated Development Environments.,Demonstrate,"Sec 2.1.2, 2.2, 5.3.1",4.4 ConOps,Updated,
1,1.1,1.1.3-F5,Capability,F,Software Factory,SWF Artifact Control Capability,"The IDE shall provide the ability to store and retrieve immutable binary artifacts (e.g., containers, JARs) with cryptographic integrity verification.",Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.3-F6,Capability,F,Software Factory,SWF CI Capability,The IDE shall provide an automated execution engine for building software upon code commit (CI). ,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.3-F11,Capability,F,Software Factory,SWF CD Capability,The IDE shall provide an automated engine for deploying artifacts to target environments (CD).,Demonstrate,Sec 2.2,4.4 ConOps,Added,
1,1.1,1.1.3-F7,Capability,F,Software Factory,SWF SAST Capability,The IDE shall provide tools to perform Static Application Security Testing (SAST) on source code without execution.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.3-F8,Capability,F,Software Factory,SWF DAST Capability,The IDE shall provide Dynamic Application Security Testing (DAST) against running applications. ,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.3-F12,Capability,F,Software Factory,SWF Container Image Scan,The IDE shall scan container images for known Common Vulnerabilities and Exposures (CVEs).,Demonstrate,Sec 2.2,4.4 ConOps,Added,
1,1.1,1.1.3-F9,Capability,F,Software Factory,SWF SSO Integration (AuthZ),The IDE shall integrate the Software Factory capabilities with the Mandated Shared Service for Centralized Authorization (RBAC).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.3-F10,Capability,F,Software Factory,SWF Monitoring Integration,The IDE shall integrate the Software Factory capabilities with the Mandated Shared Service for Centralized Monitoring.,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.4-F1,Capability,F,Electrical Engineering,EE Capability Provisioning,The IDE shall provide Electrical Computer-Aided Design (ECAD) applications for schematic capture and PCB layout.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.4-F2,Capability,F,Electrical Engineering,EE SSO Integration (AuthN),The IDE shall integrate the Electrical Engineering capability with the Mandated Shared Service for Centralized Authentication (SSO).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.4-F3,Capability,F,Electrical Engineering,EE Non-Web based Client Remote Access,The IDE shall provide the 'Remote Application Access Service' for all Electrical Engineering non-web based 'traditional' applications.,Demonstrate,"Sec 2.1.2, 2.2, 5.3.1",4.4 ConOps,Updated,
1,1.1,1.1.4-F4,Capability,F,Electrical Engineering,EE SSO Integration (AuthZ),The IDE shall integrate the Electrical Engineering capability with the Mandated Shared Service for Centralized Authorization (RBAC).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.5-F1,Capability,F,Mechanical Engineering,ME Capability Provisioning,The IDE shall provide Mechanical Computer-Aided Design (MCAD) applications for 3D modeling and assembly design.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
1,1.1,1.1.5-F2,Capability,F,Mechanical Engineering,ME SSO Integration (AuthN),The IDE shall integrate the Mechanical Engineering capability with the Mandated Shared Service for Centralized Authentication (SSO).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Updated,
1,1.1,1.1.5-F3,Capability,F,Mechanical Engineering,ME Non-Web Based Client Remote Access,The IDE shall provide the 'Remote Application Access Service' for all Mechanical Engineering non-web based 'traditional' applications.,Demonstrate,"Sec 2.1.2, 2.2, 5.3.1",4.4 ConOps,Updated,
1,1.1,1.1.5-F4,Capability,F,Mechanical Engineering,ME SSO Integration (AuthZ),The IDE shall integrate the Mechanical Engineering capability with the Mandated Shared Service for Centralized Authorization (RBAC).,Test,"Sec 2.1.2, 2.2",4.3 ConOps,Added,
1,1.1,1.1.6-M1,Capability,F,Product Quality,User Feedback Collection,"The IDE shall provide a capability to collect, summarize, and review user feedback regarding product configurations and performance via a dedicated web interface.",Demonstrate,Sec 2.2,4.4 ConOps,Updated,Model Add
2,2.1,2.1.1-F1,Capability,F,Digital Thread,Digital Thread Data Standardization,The IDE shall map data elements from connected Authoritative Sources of Truth (ASoTs) to a unified Digital Thread ontology.,Demonstrate,Sec 2.2,4.4 ConOps,Updated,
2,2.1,2.1.1-F2,Capability,F,Digital Thread,Digital Thread Graph ETL,The IDE shall extract data relationships from configured ASoTs and persist them as edges within the GraphRAG Database.,Test,"Sec 2.2, 2.3.1",4.4 ConOps,Updated,
2,2.1,2.1.1-F4,Capability,F,Digital Thread,Synchronization,The IDE Digital Thread component shall synchronize data changes between connected ASoTs upon user initiated trigger.,Test,"Sec 2.2, 2.3.1",4.4 ConOps,Add,
2,2.1,2.1.1-F3,Capability,F,Digital Thread,Digital Thread Relationship Query,The IDE shall provide the ability to query and retrieve relationships between disparate data objects in the Digital Thread.,Demonstrate,"Sec 2.3.1, 5.3.3",4.4 ConOps,Updated,
2,2.1,2.1.2-F1,SP,F,Platform Monitoring & Admin,Consolidated Pipeline (Platform Logs),The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all platform logs.,Test,"Sec 2.1.2, 3.3.3",4.3 ConOps,Updated,
2,2.1,2.1.2-F2,SP,F,Platform Monitoring & Admin,Health Dashboard (Health & KPI),"The IDE shall provide a 'Centralized Health Dashboard' to display real-time health status, performance metrics, and Key Performance Indicators (KPIs) of all platform components.",Demonstrate,Sec 3.3.3,ConOps+Model,Updated,
2,2.1,2.1.2-F3,SP,F,Platform Monitoring & Admin,Security Dashboard (Compliance),The IDE shall provide a 'Local Security Dashboard' to allow the Local Program Cyber Engineer to review compliance status.,Demonstrate,"Sec 3.3.3, 4.2.1",4.3 ConOps,Updated,
2,2.1,2.1.2-F4,SP,F,Platform Monitoring & Admin,L3 Log Bundler (Collect Platform Logs),The IDE shall provide a 'Log Bundler Script' that collects platform logs required for L3 support escalation.,Demonstrate,"Sec 3.3.3, 5.2.1",4.3 ConOps,Updated,
2,2.1,2.1.2-F5,SP,F,Platform Monitoring & Admin,Consolidated Admin Interface,"The IDE shall provide a 'Consolidated Admin Interface' as a secure, web-based UI to provide a single pane of glass for L1/L2 administrative tasks.",Demonstrate,Sec 3.3.3,4.3 ConOps,Updated,
2,2.1,2.1.2-F6,SP,F,Platform Monitoring & Admin,Admin Interface User Management,The 'Consolidated Admin Interface' shall provide a module for managing user accounts.,Demonstrate,Sec 3.3.3,4.3 ConOps,Added,
2,2.1,2.1.2-F7,SP,F,Platform Monitoring & Admin,Admin Interface for Secrets,The 'Consolidated Admin Interface' shall provide an administrative GUI for the 'Centralized Secrets Management' service.,Demonstrate,Sec 3.3.3,4.3 ConOps,Added,
2,2.1,2.1.2-F8,SP,F,Platform Monitoring & Admin,Consolidated Pipeline (App Logs),The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all application logs.,Test,"Sec 2.1.2, 3.3.3",4.3 ConOps,Added,
2,2.1,2.1.2-F9,SP,F,Platform Monitoring & Admin,Consolidated Pipeline (Health Metrics),The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all health metrics.,Test,"Sec 2.1.2, 3.3.3",4.3 ConOps,Added,
2,2.1,2.1.2-F10,SP,F,Platform Monitoring & Admin,Consolidated Pipeline (Perf Metrics),The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all performance metrics.,Test,"Sec 2.1.2, 3.3.3",4.3 ConOps,Added,
2,2.1,2.1.2-F11,SP,F,Platform Monitoring & Admin,Consolidated Pipeline (Audit Events),The IDE shall provide a 'Centralized Logging and Monitoring' service as a consolidated pipeline for all security audit events.,Test,"Sec 2.1.2, 3.3.3",4.3 ConOps,Added,
2,2.1,2.1.2-F12,SP,F,Platform Monitoring & Admin,Health Dashboard (Performance),The IDE shall provide a 'Centralized Health Dashboard' to display real-time performance status of all platform components.,Demonstrate,Sec 3.3.3,4.3 ConOps,Added,
2,2.1,2.1.2-F13,SP,F,Platform Monitoring & Admin,Health Dashboard (Compliance),The IDE shall provide a 'Centralized Health Dashboard' to display real-time compliance status of all platform components.,Demonstrate,Sec 3.3.3,4.3 ConOps,Added,
2,2.1,2.1.2-F14,SP,F,Platform Monitoring & Admin,Security Dashboard (Logs),The IDE shall provide a 'Local Security Dashboard' to allow the Local Program Cyber Engineer to review security audit logs.,Demonstrate,"Sec 3.3.3, 4.2.1",4.3 ConOps,Added,
2,2.1,2.1.2-F15,SP,F,Platform Monitoring & Admin,L3 Log Bundler (Collect App Logs),The IDE shall provide a 'Log Bundler Script' that collects application logs required for L3 support escalation.,Demonstrate,"Sec 3.3.3, 5.2.1",4.3 ConOps,Added,
2,2.1,2.1.2-F16,SP,F,Platform Monitoring & Admin,L3 Log Bundler (Scrub),The 'Log Bundler Script' shall scrub sensitive data from the collected logs.,Test,"Sec 3.3.3, 5.2.1",4.3 ConOps,Added,
2,2.1,2.1.2-F17,SP,F,Platform Monitoring & Admin,L3 Log Bundler (Package),The 'Log Bundler Script' shall package the collected logs for L3 support escalation.,Demonstrate,"Sec 3.3.3, 5.2.1",4.3 ConOps,Added,
2,2.1,2.1.2-F18,SP,F,Platform Monitoring & Admin,Admin Interface User Roles,The 'Consolidated Admin Interface' shall provide a module for managing user roles.,Demonstrate,Sec 3.3.3,4.3 ConOps,Added,
2,2.1,2.1.2-F19,SP,F,Platform Monitoring & Admin,Admin Interface User Permissions,The 'Consolidated Admin Interface' shall provide a module for managing platform-level access permissions.,Demonstrate,Sec 3.3.3,4.3 ConOps,Added,
2,2.1,2.1.2-M1,SP,F,Data Reporting,Configurable Dashboard Templates,The IDE shall generate custom dashboard templates based on user-selected metrics and layout configurations.,Demonstrate,Sec 3.3.3,4.4 ConOps,Updated,Model Add
2,2.1,2.1.2-M2,SP,F,Data Reporting,Dashboard Documentation,The IDE shall provide documentation and resources to assist users in configuring and interpreting dashboards.,Inspection,Sec 3.3.3,Model,Add - New from Modeled,ConOps GAP
2,2.1,2.1.2-M3,SP,F,Data Reporting,Dashboard Interactive Analysis,"The IDE shall enable dashboard user interaction (e.g., drill-down, filtering) to perform detailed analysis.",Demonstrate,Sec 3.3.3,Model,Add - New from Modeled,ConOps GAP
2,2.1,2.1.3-F1,AI,F,AI Context,RAG Data Ingestion,The IDE Vector Database shall ingest and index unstructured text data tagged as 'Customer Data' for semantic retrieval.,Demonstrate,Sec 2.3.1,4.3 ConOps,Updated,
2,2.1,2.1.3-F2,AI,F,AI Context,AI Session History Cache,The IDE shall provide a 'Session Memory / History' cache for each user and agent to maintain conversational context during an interaction.,Test,Sec 2.3.1,ConOps,None,
2,2.1,2.1.3-F3,AI,F,AI Context,RAG Data Indexing,The IDE shall provide a 'Vector Database' capability to index ingested unstructured 'Customer Data' to provide context for AI Agents.,Test,Sec 2.3.1,4.3 ConOps,Added,
2,2.2,2.2.1-F1,AI,F,AI Agents & Governance,Generative AI Chatbot,The IDE shall provide a 'Chatbot' capability to provide a general-purpose generative AI and Natural Language Processing (NLP) interface for end-users.,Demonstrate,Sec 2.3.1,ConOps,None,
2,2.2,2.2.1-F2,AI,F,AI Agents & Governance,Agentic Loop (Plan),The IDE shall provide an 'Agentic Loop (Cognitive Engine)' that enables AI agents to decompose user goals into multi-step plans.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Updated,
2,2.2,2.2.1-F3,AI,F,AI Agents & Governance,Developer Agent (Code Gen),The IDE shall provide a 'Developer Agent' persona integrated with the Software Factory (SWF) to assist with code generation.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Updated,
2,2.2,2.2.1-F4,AI,F,AI Agents & Governance,Insights Agent Persona,"The IDE shall provide an 'Insights Agent' persona to perform complex, cross-domain queries of the Digital Thread (GraphRAG) and generate status reports.",Demonstrate,"Sec 2.3.1, 5.3.3",ConOps,None,
2,2.2,2.2.1-F5,AI,F,AI Agents & Governance,AIOps Agent (RCA),The IDE shall provide an 'IT Infrastructure Agent (AIOps)' persona integrated with the Centralized Logging service to perform autonomous root cause analysis.,Demonstrate,"Sec 2.3.1, 5.3.4",4.3 ConOps,Updated,
2,2.2,2.2.1-F6,AI,F,AI Agents & Governance,AI Agent Tool Catalog,The IDE shall provide a customer-configurable 'AI Tool Catalog' that defines the specific actions an AI agent is permitted to execute.,Demonstrate,Sec 2.3.1,4.3 ConOps,Updated,
2,2.2,2.2.1-F7,AI,F,AI Agents & Governance,Local LLM Catalog Support,"The IDE shall provide a 'Local LLM Catalog' capability to enable AI agent operation in air-gapped environments using self-hosted, containerized Large Language Models.",Demonstrate,Sec 2.3.2,ConOps,None,
2,2.2,2.2.1-N1,AI,NF,AI Agents & Governance,AI Gateway Policy Enforcement,The IDE Network Policy shall block all outbound traffic from AI Agent pods except traffic destined for the AI Gateway.,Test,"Sec 2.3.2, 4.4.1",ConOps,None,
2,2.2,2.2.1-N2,AI,NF,AI Agents & Governance,AI Gateway Auditing (Prompts),The 'AI Gateway' shall create a non-repudiable audit log of all AI agent prompts for security and compliance review.,Analysis,"Sec 2.3.2, 4.4.1",4.3 ConOps,Updated,
2,2.2,2.2.1-N3,AI,NF,AI Agents & Governance,AI Agent Zero-Trust Identity,"The IDE shall assign each AI agent a distinct, non-human identity (service account) with a unique, role-based access control (RBAC) profile.",Inspection,Sec 3.2.1,ConOps,None,
2,2.2,2.2.1-N4,AI,NF,AI Agents & Governance,AI Agent No Standing Privileges,The IDE shall ensure no AI agent identity has standing privileged access to the platform or its tool APIs.,Inspection,Sec 3.2.1,4.3 ConOps,Updated,
2,2.2,2.2.1-F8,AI,F,AI Agents & Governance,AI Agent Privileged Tools,The IDE shall suspend AI Agent execution when a generated plan requires privileged tools.,Demonstrate,"Sec 3.2.1, 5.3.4",ConOps,None,
2,2.2,2.2.1-F8,AI,F,AI Agents & Governance,AI Agent JIT Access,The IDE shall resume suspended AI Agent execution only upon receipt of a cryptographic approval token from a Local Admin.,Demonstrate,"Sec 3.2.1, 5.3.4",ConOps,None,
2,2.2,2.2.1-N5,AI,NF,AI Agents & Governance,Agent-Generated Code as Untrusted,The IDE Version Control System shall prevent direct commits of Agent-generated code to protected branches.,Analysis,Sec 4.4.2,4.3 ConOps,Updated,
2,2.2,2.2.1-N6,AI,NF,AI Agents & Governance,Agent-Generated Code Compliance Scan,The IDE shall ensure agent-generated code cannot be merged to a protected branch until it has passed all required DevSecOps pipeline security scans.,Test,Sec 4.4.2,4.3 ConOps,Updated,
2,2.2,2.2.1-F9,AI,F,AI Agents & Governance,Agentic Loop (Evaluate Safety),The 'Agentic Loop (Cognitive Engine)' shall evaluate multi-step plans for safety.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Added,
2,2.2,2.2.1-F10,AI,F,AI Agents & Governance,Agentic Loop (Evaluate Correctness),The 'Agentic Loop (Cognitive Engine)' shall evaluate multi-step plans for correctness.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Added,
2,2.2,2.2.1-F11,AI,F,AI Agents & Governance,Agentic Loop (Execute),The 'Agentic Loop (Cognitive Engine)' shall execute approved multi-step plans.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Added,
2,2.2,2.2.1-F12,AI,F,AI Agents & Governance,Developer Agent (Debug),The 'Developer Agent' persona shall assist with natural-language-based debugging.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Added,
2,2.2,2.2.1-F13,AI,F,AI Agents & Governance,Developer Agent (Test Gen),The 'Developer Agent' persona shall assist with automated unit test script generation.,Demonstrate,"Sec 2.3.1, 5.3.2",4.3 ConOps,Added,
2,2.2,2.2.1-F14,AI,F,AI Agents & Governance,AIOps Agent (Remediation),The 'IT Infrastructure Agent (AIOps)' persona shall generate planned remediation steps.,Demonstrate,"Sec 2.3.1, 5.3.4",4.3 ConOps,Added,
2,2.2,2.2.1-F15,AI,F,AI Agents & Governance,AI Gateway Auditing (Plans),The 'AI Gateway' shall create a non-repudiable audit log of all AI agent plans for security and compliance review.,Analysis,"Sec 2.3.2, 4.4.1",4.3 ConOps,Added,
2,2.2,2.2.1-F16,AI,F,AI Agents & Governance,AI Gateway Auditing (Responses),The 'AI Gateway' shall create a non-repudiable audit log of all AI agent responses for security and compliance review.,Analysis,"Sec 2.3.2, 4.4.1",4.3 ConOps,Added,
3,3.1,3.1.1-F1,SP,F,Secure Platform Services,K8s Orchestration Platform,The IDE shall provide a Kubernetes (K8s) orchestrator as the foundational platform for all containerized services and applications.,Inspection,Sec 2.1.1,ConOps,None,
3,3.1,3.1.1-N1,SP,NF,Secure Platform Services,Environment Agnostic,"The IDE platform shall be environment-agnostic, supporting deployment in on-premises, private cloud, public cloud, and fully air-gapped networks.",Analysis,"Sec 2.0, 2.5",ConOps,None,
3,3.1,3.1.1-N2,SP,NF,Secure Platform Services,On-Premises K8s Support,"The IDE platform shall support automated deployment on a specified K8s distribution (e.g., Linux OpenShift) for both bare metal and hypervisor-based on-premises environments.",Test,Sec 2.1.1,ConOps,None,
3,3.1,3.1.1-N3,SP,NF,Secure Platform Services,Cloud K8s Support,"The IDE platform shall support automated deployment on specified managed Kubernetes services (e.g., EKS, OpenShift) on cloud environments.",Test,Sec 2.1.1,ConOps,None,
3,3.1,3.1.1-N4,SP,NF,Secure Platform Services,Greenfield K8s Provisioning,"The IDE installation process shall provision a new, dedicated K8s cluster and shall not deploy into a pre-existing, non-IDE K8s cluster.",Test,Sec 2.1.1,ConOps,None,
3,3.1,3.1.1-F2,SP,F,Secure Platform Services,SSO Identity Broker,"The IDE shall provide a mandated shared service for Centralized Authentication and Authorization (SSO) that functions as an identity broker, connecting to a customer-provided Identity Provider (IdP).",Test,"Sec 2.1.2, 5.1.1",4.3 ConOps,Updated,
3,3.1,3.1.1-F3,SP,F,Secure Platform Services,In-Cluster VM Management,The IDE shall provide a mandated shared service for 'In-Cluster VM Management' to orchestrate non-containerized workloads as virtual machines within the cluster.,Demonstrate,Sec 2.1.2,4.3 ConOps,Updated,
3,3.1,3.1.1-F4,SP,F,Secure Platform Services,Remote Application Streaming,"The IDE shall provide a mandated shared service for 'Remote Application Access' to provide on-demand, streaming access to non-web based 'traditional'  applications via an end-user's web browser.",Test,"Sec 2.1.2, 5.3.1",4.4 ConOps,Updated,
3,3.1,3.1.1-P7,SP,P,Secure Platform Services,Remote Application Streaming Performance,The mandated shared service for 'Remote Application Access' shall render at minimum 30 frames per second with less than 100ms input latency.,Test,"Sec 2.1.2, 5.3.1",4.4 ConOps,Added,
3,3.1,3.1.1-F5,SP,F,Secure Platform Services,Service Mesh (Discovery),The IDE shall provide a mandated shared 'Service Mesh' that provides service discovery.,Test,Sec 2.1.2,4.3 ConOps,Updated,
3,3.1,3.1.1-F6,SP,F,Secure Platform Services,Automated Backup Service,"The IDE shall provide a mandated shared service for 'Backup and Recovery' that performs automated, policy-based backups of the platform state and customer data.",Demonstrate,Sec 2.1.2,ConOps,None,
3,3.1,3.1.1-F7,SP,F,Secure Platform Services,Disaster Recovery Restore Capability,"The IDE shall provide a 'full IDE System Restore' capability to restore the platform from an automated backup, as defined in Scenario 5.4.3.",Test,Sec 5.4.3,4.3 ConOps,Updated,
3,3.1,3.1.1-F8,SP,F,Secure Platform Services,Customer Application Deployment,The IDE Secure Platform shall instantiate customer-provided container images upon validation of the deployment manifest.,Demonstrate,Sec 2.2.1,4.4 ConOps,Updated,
3,3.1,3.1.1-F9,SP,F,Secure Platform Services,Customer Application Integration,The IDE Secure Platform shall enable 'Customer-Integrated Applications' to leverage Mandated Shared Services via adherence to the published IDE Interface Control Document (ICD).,Test,Sec 2.2.1,4.3 ConOps,Updated,
3,3.1,3.1.1-F10,SP,F,Secure Platform Services,ICD Publication,"The IDE shall include a formal, version-controlled Interface Control Document (ICD) as a core product deliverable that defines the technical and security 'contract' for integrating customer applications.",Inspection,Sec 2.2.1,ConOps,None,
3,3.1,3.1.1-F11,SP,F,Secure Platform Services,Secrets Service (Storage),The IDE shall provide a mandated shared service for 'Centralized Secrets Management' to support the secure storage of platform and application credentials.,Demonstrate,Sec 2.1.2,4.3 ConOps,Updated,
3,3.1,3.1.1-F12,SP,F,Secure Platform Services,Secrets Service Auditing,The IDE shall integrate all 'Centralized Secrets Management' access and management actions with the 'Centralized Logging' service to ensure all actions are auditable.,Test,Sec 2.1.2,ConOps,None,
3,3.1,3.1.1-F13,SP,F,Secure Platform Services,ICD Secrets Management API,The IDE Interface Control Document (ICD) shall define the programmatic API for the 'Centralized Secrets Management' service to enable 'Customer-Integrated Applications' to securely access credentials.,Inspection,Sec 2.2.1,ConOps,None,
3,3.1,3.1.1-F14,SP,F,Secure Platform Services,Service Mesh (Traffic Mgt),The mandated shared 'Service Mesh' shall provide policy-driven traffic management.,Test,Sec 2.1.2,4.3 ConOps,Added,
3,3.1,3.1.1-F15,SP,F,Secure Platform Services,Service Mesh (mTLS),The mandated shared 'Service Mesh' shall enforce zero-trust security via mutually authenticated mTLS for all service-to-service communication.,Test,Sec 2.1.2,4.3 ConOps,Added,
3,3.1,3.1.1-F16,SP,F,Secure Platform Services,Secrets Service (Distribution),The mandated shared service for 'Centralized Secrets Management' shall support the secure distribution of platform and application credentials.,Demonstrate,Sec 2.1.2,4.3 ConOps,Added,
3,3.1,3.1.1-F17,SP,F,Secure Platform Services,Secrets Service (Rotation),The mandated shared service for 'Centralized Secrets Management' shall support the secure rotation of platform and application credentials.,Demonstrate,Sec 2.1.2,4.3 ConOps,Added,
3,3.1,3.1.1-N5,SP,NF,Secure Platform Services,NIST 800-53 Hardening,The IDE 'Secure Platform' and 'IDE Capability Layer' components shall be hardened to comply with NIST SP 800-53 (Rev 5).,Analysis,"Sec 2.1, 4.1",4.4 ConOps,Delete,
3,3.1,3.1.1-N6,SP,NF,Secure Platform Services,cATO Maintenance,"The IDE baseline shall be maintained under a formal Continuous Authorization to Operate (cATO) process, enabled by a provider-side DevSecOps pipeline and customer-side Continuous Monitoring (CONMON).",Analysis,"Sec 4.2, 4.2.1",ConOps,None,
3,3.1,3.1.1-N7,SP,NF,Secure Platform Services,ATO Inheritance Package (BoE),The IDE shall provide a 'Cyber compliance evidence' package (Body of Evidence) to support customer ATO inheritance.,Inspection,"Sec 2.4.1, 4.3.1",4.3 ConOps,Updated,
3,3.1,3.1.1-N8,SP,NF,Secure Platform Services,Opinionated Stack Mandate,"The IDE shall be delivered as a complete, 'opinionated stack'; deployment of the 'IDE Capability Layer' on a non-IDE platform shall not be supported.",Analysis,"Sec 2.1, 3.1.3",ConOps,None,
