IDE Capability,IDE_Requirement_Id,Requirement Text
Digital Dashboards,IDE_45,The Integrated Digital Engineering Ecosystem shall enable dashboard user interaction to perform detailed analysis.
Integrated Digital Engineering Ecosystem,IDE_46,The Integrated Digital Engineering Ecosystem shall enable the ability to manage data within the digital engineering ecosystem throughout the product lifecycle.
Integrated Digital Engineering Ecosystem,IDE_47,The Integrated Digital Engineering Ecosystem shall enable the ability to store data within the digital engineering ecosystem throughout the product lifecycle.
Integrated Digital Engineering Ecosystem,IDE_48,The Integrated Digital Engineering Ecosystem shall support the Digital Thread Management Solution capabilities.
Integrated Digital Engineering Ecosystem,IDE_49,The Integrated Digital Engineering Ecosystem shall enable the ability to integrate digital engineering applications throughout the product lifecycle.
Integrated Digital Engineering Ecosystem,IDE_50,The Integrated Digital Engineering Ecosystem shall support the ability to map product lifecycle activities to the digital engineering ecosystem.
Integrated Digital Engineering Ecosystem,IDE_51,The Integrated Digital Engineering Ecosystem shall support the ability to track performance metrics across the product lifecycle.
Integrated Digital Engineering Ecosystem,IDE_52,The Integrated Digital Engineering Ecosystem shall provide capabilities to support hosting non-IDE applications.
Integrated Digital Engineering Ecosystem,IDE_53,The Integrated Digital Engineering Ecosystem shall provide Planning and Collaboration Capabilities.
Integrated Digital Engineering Ecosystem,IDE_54,The Integrated Digital Engineering Ecosystem shall provide System Engineering Factory Capabilities.
Integrated Digital Engineering Ecosystem,IDE_55,The Integrated Digital Engineering Ecosystem shall provide Software Factory  Capabilities.
Logging and Monitoring,IDE_56,The Integrated Digital Engineering Ecosystem shall enable only authorized users to access logs.
Logging and Monitoring,IDE_57,The Integrated Digital Engineering Ecosystem shall ensure logging practices comply with governing policy and regulations.
Logging and Monitoring,IDE_58,The Integrated Digital Engineering Ecosystem  shall provide configurable dashboard to support logging and monitoring.
Logging and Monitoring,IDE_59,The Integrated Digital Engineering Ecosystem shall generate alerts for critical logging failures.
Logging and Monitoring,IDE_60,The Integrated Digital Engineering Ecosystem shall enable log aggregation to comply with governing guidance for performance.
Logging and Monitoring,IDE_61,The Integrated Digital Engineering Ecosystem shall centralize logs from integrated tools for performance and security monitoring.
Logging and Monitoring,IDE_62,The Integrated Digital Engineering Ecosystem shall ensure logs are protected against unauthorized access and tampering.
Logging and Monitoring,IDE_63,The Integrated Digital Engineering Ecosystem shall generate alerts for security events.
Maintenance and Operational State Management,IDE_64,The Integrated Digital Engineering Ecosystem shall enable authorized user access to operational state information.
Maintenance and Operational State Management,IDE_65,The Integrated Digital Engineering Ecosystem shall generate alerts on operational events.
Maintenance and Operational State Management,IDE_66,The Integrated Digital Engineering Ecosystem shall secure operational state data.
Maintenance and Operational State Management,IDE_67,The Integrated Digital Engineering Ecosystem shall enable dashboards showing the operational status of systems.
User Management ,IDE_68,The Integrated Digital Engineering Ecosystem shall provide a user interface for managing user accounts.
Multi-Factor Authentication,IDE_69,The digital ecosystem shall enable only authorized users access to MFA configuration settings.
Multi-Factor Authentication,IDE_70,The digital ecosystem shall implement multi-factor authentication (MFA) mechanisms for applications when granting access from the Internet or other untrusted network.
Multi-Factor Authentication,IDE_71,"The digital ecosystem shall support multiple MFA methods, including SMS verification codes, email links, authentication apps, and biometric verification."
Modern Authentication Protocols,IDE_72,The digital ecosystem shall enable only authorized users access to authentication protocol configuration.
Modern Authentication Protocols,IDE_73,"The  digital ecosystem shall enable configuration of applications to utilize approved authentication protocols, including SAML, WS-Fed, OAuth, and OIDC."
Maintenance and Operational State Management,IDE_74,The Integrated Digital Engineering Ecosystem shall ensure compliance with maintenance and operational state defintions.
Maintenance and Operational State Management,IDE_75,The Integrated Digital Engineering Ecosystem shall enable monitoring and management of the system and tools during the operational state.
Configure and deploy Integrated Digital Environment,IDE_76,The Integrated Digital Engineering Ecosystem shall comply with organizational IT governance.
Performance Optimization,IDE_77,The Integrated Digital Engineering Ecosystem shall conduct performance optimizations to be performed by authorized users only.
Performance Optimization,IDE_78,The Integrated Digital Engineering Ecosystem shall comply with internal performance standards and benchmarks.
Performance Optimization,IDE_79,The Integrated Digital Engineering Ecosystem shall provide alerts for performance degradation beyond defined thresholds.
Performance Optimization,IDE_80,The Integrated Digital Engineering Ecosystem shall provide tools for monitoring and optimizing the performance of the digital ecosystem components.
Performance Optimization,IDE_81,The Integrated Digital Engineering Ecosystem shall implement security measures to protect sensitive performance data.
Performance Optimization,IDE_82,The Integrated Digital Engineering Ecosystem users shall have access to a dashboard displaying optimization suggestions.
Provide Work Instructions,IDE_83,The Integrated Digital Engineering Ecosystem shall make work instructions  available to authorized personnel.
User Management ,IDE_84,The Integrated Digital Engineering Ecosystem shall implement role-based access controls.
User Management ,IDE_85,The Integrated Digital Engineering Ecosystem shall enable user account changes to reflect across all integrated systems.
User Management ,IDE_86,The Integrated Digital Engineering Ecosystem shall allow authorized users to manage user accounts within the digital ecosystem.
,IDE_87,The Integrated Digital Engineering Ecosystem shall limit access for processes acting on behalf of authorized users.
,IDE_88,The integrated Digital Engineering Ecosystem shall  perform vulnerability scans in applications  containing CUI weekly
,IDE_89,"The Integrated Digital Engineering Ecosystem shall review, approve or disapprove changes to IDE systems. "
,IDE_90,The Integrated Digital Engineering Ecosystem shall  terminate a user session automatically after any of the defined conditions occur.
,IDE_91,The Integrated Digital Engineering Ecosystem shall track and manage configuration changes across integrated tools and environments throughout the systems development life cycle.
,IDE_92,The Integrated Digital Engineering Ecosystem shall capture the execution of privileged functions in audit logs.
,IDE_93,The Integrated Digital Engineering Ecosystem shall check media containing diagnostic and test programs for malicious code before the media is used in systems.
,IDE_94,The Integrated Digital Engineering Ecosystem shall prevent installation of software by users
,IDE_95,The Integrated Digital Engineering Ecosystem customers shall control access to media containing CUI.
,IDE_96,The Integrated Digital Engineering Ecosystem shall correct system flaws within the specified time frame.
,IDE_97,The Integrated Digital Engineering Ecosystem shall define authorizations for controlling the flow of CUI.
,IDE_98,The Integrated Digital Engineering Ecosystem shall document incidents.
,IDE_99,The Integrated Digital Engineering Ecosystem shall Control the flow of CUI in accordance with approved authorizations.
,IDE_100,The Integrated Digital Engineering Ecosystem shall enforce minimum password change of character requirements when new passwords are created. 
,IDE_101,The Integrated Digital Engineering Ecosystem shall  enforce minimum password complexity requirements when new passwords are created.
,IDE_102,The Integrated Digital Engineering Ecosystem's shall logically restrict access so that only authorized personnel can manage configurations.
,IDE_103,The Integrated Digital Engineering Ecosystem shall define essential programs.
,IDE_104,The Integrated Digital Engineering Ecosystem shall define the external system boundary.
,IDE_105,The Integrated Digital Engineering Ecosystem shall document connections to external systems. 
,IDE_106,The Integrated Digital Engineering Ecosystem shall control/limit the connections to external systems.
,IDE_107,The Integrated Digital Engineering Ecosystem shall identify the use of external systems.
,IDE_108,The Integrated Digital Engineering Ecosystem shall employ FIPS-validated cryptography when used to protect the confidentiality of CUI.
,IDE_109,The Integrated Digital Engineering Ecosystem shall identify unauthorized use of organizational systems.
,IDE_110,The Integrated Digital Engineering Ecosystem shall conceal previously visible information via a pattern hiding display after 20 minutes of inactivity.
,IDE_111,The Integrated Digital Engineering Ecosystem shall limit access to CUI on system media to authorized users.
,IDE_112,The Integrated Digital Engineering Ecosystem shall notify identified authorities of incidents.
,IDE_113,The Integrated Digital Engineering Ecosystem shall perform malicious code scans with the defined frequency.
,IDE_114,The Integrated Digital Engineering Ecosystem shall protect the confidentiality of CUI.
,IDE_115,The Integrated Digital Engineering Ecosystem shall identify software development techniques that promote effective information security.
,IDE_116,The Integrated Digital Engineering Ecosystem shall establish separate accounts for individuals whose duties and accesses must be separated.
,IDE_117,The Integrated Digital Engineering Ecosystem shall correlate  audit record  analysis and reporting processes.
,IDE_118,The Integrated Digital Engineering Ecosystem shall define types of audit logging process failures for which alerts will be generated.
,IDE_119,The Integrated Digital Engineering Ecosystem shall identify personnel or roles to be alerted in the event of an audit logging process failure.
,IDE_120,"The Integrated Digital Engineering Ecosystem shall specify the audit logs needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activities."
,IDE_121,The Integrated Digital Engineering Ecosystem shall define methods and enforcement mechanisms for controlling the flow of CUI.
,IDE_122,The Integrated Digital Engineering Ecosystem shall describe and document the system boundary.
,IDE_123,The Integrated Digital Engineering Ecosystem shall describe and document the relationship with or connection to the other systems in the system security plan.
,IDE_124,The Integrated Digital Engineering Ecosystem shall describe and document the system environment of operation.
,IDE_125,The Integrated Digital Ecosystem shall employ identified software development techniques that promote effective information security.
,IDE_126,The Integrated Digital Engineering Ecosystem shall employ an architectural design that promotes effective information security.
,IDE_127,The Integrated Digital Engineering Ecosystem shall enforce security configuration settings for information technology products employed in the system.
,IDE_128,The Integrated Digital Engineering Ecosystem shall define essential system capabilities based on the principle of least functionality.
,IDE_129,"The Integrated Digital Engineering Ecosystem shall restrict the use of nonessential programs, functions, ports, protocols, and services."
,IDE_130,The Integrated Digital Engineering Ecosystem shall identify deficiencies and vulnerabilities to be addressed by a plan of action.
,IDE_131,The Integrated Digital Engineering Ecosystem shall identify processes acting on behalf of authorized users.
,IDE_132,The Integrated Digital Engineering Ecosystem shall limit unsuccessful login attempts.
,IDE_133,The Integrated Digital Engineering Ecosystem shall define a period of inactivity after which an identifier is disabled.
,IDE_134,The Integrated Digital Engineering Ecosystem shall use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.
,IDE_135,The Integrated Digital Engineering Ecosystem shall prevent unauthorized and unintended information transfer via shared system resources.
,IDE_136,The Integrated Digital Engineering Ecosystem shall specify the number of generations when reuse of passwords is prohibited.
,IDE_137,The Integrated Digital Engineering Ecosystem shall protect communications at key internal boundaries.
,IDE_138,The Integrated Digital Engineering Ecosystem shall identify privileged accounts. 
,IDE_139,The Integrated Digital Engineering Ecosystem shall identify security functions.
,IDE_140,The Integrated Digital Engineering Ecosystem shall identify authorized users.
,IDE_141,The Integrated Digital Engineering Ecosystem shall define logical access restrictions associated with changes to the system.
,IDE_142,The Integrated Digital Engineering Ecosystem shall identify system management functionality.
,IDE_143,The Integrated Digital Engineering Ecosystem shall Monitor system security alerts and advisories and take action in response.
,IDE_144,The Integrated Digital Engineering Ecosystem shall protect the authenticity of communications sessions.
,IDE_145,The Integrated Digital Engineering Ecosystem shall identify publicly accessible system components.
,IDE_146,"The Integrated Digital Engineering Ecosystem shall perform real-time malicious code scans of files from external sources as files are downloaded, opened, or executed."
,IDE_147,The Integrated Digital Engineering Ecosystem shall identify architectural designs that promote effective information security.
,IDE_148,The Integrated Digital Engineering Ecosystem shall assess security controls with the defined frequency to determine if the controls are effective in their application.
,IDE_149,The Integrated Digital Engineering Ecosystem shall analyze whether changes will impact security prior to implementing the changes.
,IDE_150,The Integrated Digital Engineering Ecosystem shall assign information security-related issues to designated personnel roles.
,IDE_151,The Integrated Digital Engineering Ecosystem shall separate user functionality from system management functionality.
,IDE_152,The Integrated Digital Engineering Ecosystem shall Perform maintenance on IDE systems. 
,IDE_153,The Integrated Digital Engineering Ecosystem shall terminate system access and credentials consistent with personnel actions such as termination or transfer according to a predefined process.
,IDE_154,The Integrated Digital Engineering Ecosystem shall require users to use non-privileged accounts or roles when accessing non security functions.
